OrderID,OrderDate,Region,Country,State,City,CustomerID,CustomerName,ProductCategory,ProductName,Brand,Quantity,UnitPrice,Discount,Sales,Profit,PaymentMode
1001,1/22/2024,Asia,India,Madhya Pradesh,Jabalpur,C001,Customer_1,Electronics,iPhone 15,Apple,5,45000,20%,180000,21600,Cash
1002,1/19/2024,Asia,India,Delhi,Ghaziabad,C002,Customer_2,Furniture,OfficeDesk,Featherlite,1,55000,5%,52250,6270,Credit Card
1003,1/26/2024,Asia,India,Madhya Pradesh,Gwalior,C003,Customer_3,Furniture,OfficeDesk,Featherlite,5,45000,10%,202500,24300,Credit Card
1004,1/25/2024,Asia,India,Madhya Pradesh,Jabalpur,C004,Customer_4,Electronics,iPhone 15,Apple,1,45000,10%,40500,4860,UPI
1005,1/20/2024,Asia,India,Delhi,Ghaziabad,C005,Customer_5,Electronics,Inspiron 15,Dell,5,55000,20%,220000,26400,Cash
1006,1/12/2024,Asia,India,Gujarat,Surat,C006,Customer_6,Electronics,iPhone 15,Apple,2,8000,20%,12800,1536,UPI
1007,1/24/2024,Asia,India,Madhya Pradesh,Bhopal,C007,Customer_7,Furniture,OfficeDesk,Featherlite,4,55000,10%,198000,23760,Credit Card
1008,1/24/2024,Asia,India,Madhya Pradesh,Bhopal,C008,Customer_8,Electronics,iPhone 15,Apple,1,8000,5%,7600,912,Cash
1009,1/25/2024,Asia,India,Delhi,New Delhi,C009,Customer_9,Electronics,iPhone 15,Apple,5,8000,20%,32000,3840,Cash
1010,1/8/2024,Asia,India,Madhya Pradesh,Jabalpur,C010,Customer_10,Electronics,iPhone 15,Apple,1,12000,10%,10800,1296,Credit Card
1011,1/3/2024,Asia,India,Maharashtra,Nagpur,C011,Customer_11,Electronics,iPhone 15,Apple,1,8000,20%,6400,768,Net Banking
1012,1/4/2024,Asia,India,Gujarat,Vadodara,C012,Customer_12,Furniture,OfficeDesk,Featherlite,1,45000,20%,36000,4320,Credit Card
1013,1/25/2024,Asia,India,Delhi,Ghaziabad,C013,Customer_13,Electronics,Inspiron 15,Dell,5,12000,20%,48000,5760,Credit Card
1014,1/13/2024,Asia,India,Madhya Pradesh,Bhopal,C014,Customer_14,Furniture,OfficeDesk,Featherlite,1,8000,20%,6400,768,Net Banking
1015,1/6/2024,Asia,India,Maharashtra,Pune,C015,Customer_15,Furniture,OfficeDesk,Featherlite,5,45000,20%,180000,21600,Net Banking
1016,1/27/2024,Asia,India,Maharashtra,Mumbai,C016,Customer_16,Electronics,Inspiron 15,Dell,1,45000,5%,42750,5130,Credit Card
1017,1/11/2024,Asia,India,Gujarat,Surat,C017,Customer_17,Electronics,Inspiron 15,Dell,3,55000,10%,148500,17820,Net Banking
1018,1/16/2024,Asia,India,Gujarat,Vadodara,C018,Customer_18,Electronics,Inspiron 15,Dell,3,12000,20%,28800,3456,Credit Card
1019,1/8/2024,Asia,India,Gujarat,Vadodara,C019,Customer_19,Furniture,ErgoChair,IKEA,4,12000,5%,45600,5472,Cash
1020,1/23/2024,Asia,India,Delhi,Noida,C020,Customer_20,Electronics,Inspiron 15,Dell,3,12000,5%,34200,4104,Cash
1021,1/1/2024,Asia,India,Gujarat,Vadodara,C021,Customer_21,Electronics,Inspiron 15,Dell,2,12000,20%,19200,2304,UPI
1022,1/9/2024,Asia,India,Gujarat,Ahmedabad,C022,Customer_22,Electronics,Inspiron 15,Dell,5,8000,10%,36000,4320,Credit Card
1023,1/2/2024,Asia,India,Maharashtra,Pune,C023,Customer_23,Furniture,ErgoChair,IKEA,5,45000,10%,202500,24300,Cash
1024,1/17/2024,Asia,India,Delhi,Ghaziabad,C024,Customer_24,Furniture,OfficeDesk,Featherlite,5,12000,20%,48000,5760,UPI
1025,1/10/2024,Asia,India,Gujarat,Vadodara,C025,Customer_25,Electronics,Inspiron 15,Dell,2,12000,10%,21600,2592,Net Banking
1026,1/8/2024,Asia,India,Gujarat,Vadodara,C026,Customer_26,Furniture,OfficeDesk,Featherlite,3,12000,20%,28800,3456,UPI
1027,1/29/2024,Asia,India,Madhya Pradesh,Gwalior,C027,Customer_27,Furniture,OfficeDesk,Featherlite,5,55000,5%,261250,31350,Cash
1028,1/29/2024,Asia,India,Madhya Pradesh,Bhopal,C028,Customer_28,Furniture,ErgoChair,IKEA,3,55000,20%,132000,15840,UPI
